*,Activity,Transaction Type ,Submitted By,Submitted For,Submitter Role,Receiving Party,Submit Date,Facility Identifier Scheme,Facility Identifier,Transaction ID,OpeningBalance Date,OpeningBalance Amount,OpeningBalance Currency,OpeningBalance Base Ccy Equivalent,Utilized Amount,Unutilized Amount
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS2222222,2017-02-20,ISIN,ANSHUL000002,N-11,2017-02-20,100011,USD,100011,100011,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234569,2017-02-20,ISIN,ANSHUL000002,N-12,2017-02-20,100012,USD,100012,100012,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS2222223,2017-02-20,ISIN,ANSHUL000002,N-13,2017-02-20,100013,USD,100013,100013,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234561,2017-02-20,ISIN,ANSHUL000002,N-14,2017-02-20,100014,USD,100014,100014,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS2222224,2017-02-20,ISIN,ANSHUL000002,N-15,2017-02-20,100015,USD,100015,100015,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS2222225,2017-02-20,ISIN,ANSHUL000002,N-16,2017-02-20,100016,USD,100016,100016,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234565,2017-02-20,ISIN,ANSHUL000002,N-17,2017-02-20,100017,USD,100017,100017,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234566,2017-02-20,ISIN,ANSHUL000002,N-18,2017-02-20,100018,USD,100018,100018,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234563,2017-02-20,ISIN,ANSHUL000002,N-19,2017-02-20,100019,USD,100019,100019,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234564,2017-02-20,ISIN,ANSHUL000002,N-20,2017-02-20,100020,USD,100020,100020,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,US1L009318,2017-02-20,ISIN,ANSHUL000003,N-21,2017-02-20,100001,USD,100001,100001,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,ZW9Z999994,2017-02-20,ISIN,ANSHUL000003,N-22,2017-02-20,100002,USD,100002,100002,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,ZW9X999996,2017-02-20,ISIN,ANSHUL000003,N-23,2017-02-20,100003,USD,100003,100003,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,ZW9W999997,2017-02-20,ISIN,ANSHUL000003,N-24,2017-02-20,100004,USD,100004,100004,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CH1L122575,2017-02-20,ISIN,ANSHUL000003,N-25,2017-02-20,100005,USD,100005,100005,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CH1L206998,2017-02-20,ISIN,ANSHUL000003,N-26,2017-02-20,100006,USD,100006,100006,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CH1L156797,2017-02-20,ISIN,ANSHUL000003,N-27,2017-02-20,100007,USD,100007,100007,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS11111111,2017-02-20,ISIN,ANSHUL000003,N-28,2017-02-20,100008,USD,100008,100008,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234567,2017-02-20,ISIN,ANSHUL000003,N-29,2017-02-20,100009,USD,100009,100009,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234568,2017-02-20,ISIN,ANSHUL000003,N-30,2017-02-20,100010,USD,100010,100010,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS2222222,2017-02-20,ISIN,ANSHUL000003,N-31,2017-02-20,100011,USD,100011,100011,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234569,2017-02-20,ISIN,ANSHUL000003,N-32,2017-02-20,100012,USD,100012,100012,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS2222223,2017-02-20,ISIN,ANSHUL000003,N-33,2017-02-20,100013,USD,100013,100013,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234561,2017-02-20,ISIN,ANSHUL000003,N-34,2017-02-20,100014,USD,100014,100014,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS2222224,2017-02-20,ISIN,ANSHUL000003,N-35,2017-02-20,100015,USD,100015,100015,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS2222225,2017-02-20,ISIN,ANSHUL000003,N-36,2017-02-20,100016,USD,100016,100016,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234565,2017-02-20,ISIN,ANSHUL000003,N-37,2017-02-20,100017,USD,100017,100017,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234566,2017-02-20,ISIN,ANSHUL000003,N-38,2017-02-20,100018,USD,100018,100018,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234563,2017-02-20,ISIN,ANSHUL000003,N-39,2017-02-20,100019,USD,100019,100019,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234564,2017-02-20,ISIN,ANSHUL000003,N-40,2017-02-20,100020,USD,100020,100020,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,US1L009318,2017-02-20,ISIN,ANSHUL000004,N-41,2017-02-20,100001,USD,100001,100001,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,ZW9Z999994,2017-02-20,ISIN,ANSHUL000004,N-42,2017-02-20,100002,USD,100002,100002,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,ZW9X999996,2017-02-20,ISIN,ANSHUL000004,N-43,2017-02-20,100003,USD,100003,100003,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,ZW9W999997,2017-02-20,ISIN,ANSHUL000004,N-44,2017-02-20,100004,USD,100004,100004,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CH1L122575,2017-02-20,ISIN,ANSHUL000004,N-45,2017-02-20,100005,USD,100005,100005,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CH1L206998,2017-02-20,ISIN,ANSHUL000004,N-46,2017-02-20,100006,USD,100006,100006,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CH1L156797,2017-02-20,ISIN,ANSHUL000004,N-47,2017-02-20,100007,USD,100007,100007,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS11111111,2017-02-20,ISIN,ANSHUL000004,N-48,2017-02-20,100008,USD,100008,100008,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234567,2017-02-20,ISIN,ANSHUL000004,N-49,2017-02-20,100009,USD,100009,100009,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234568,2017-02-20,ISIN,ANSHUL000004,N-50,2017-02-20,100010,USD,100010,100010,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS2222222,2017-02-20,ISIN,ANSHUL000004,N-51,2017-02-20,100011,USD,100011,100011,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234569,2017-02-20,ISIN,ANSHUL000004,N-52,2017-02-20,100012,USD,100012,100012,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS2222223,2017-02-20,ISIN,ANSHUL000004,N-53,2017-02-20,100013,USD,100013,100013,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234561,2017-02-20,ISIN,ANSHUL000004,N-54,2017-02-20,100014,USD,100014,100014,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS2222224,2017-02-20,ISIN,ANSHUL000004,N-55,2017-02-20,100015,USD,100015,100015,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS2222225,2017-02-20,ISIN,ANSHUL000004,N-56,2017-02-20,100016,USD,100016,100016,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234565,2017-02-20,ISIN,ANSHUL000004,N-57,2017-02-20,100017,USD,100017,100017,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234566,2017-02-20,ISIN,ANSHUL000004,N-58,2017-02-20,100018,USD,100018,100018,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234563,2017-02-20,ISIN,ANSHUL000004,N-59,2017-02-20,100019,USD,100019,100019,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234564,2017-02-20,ISIN,ANSHUL000004,N-60,2017-02-20,100020,USD,100020,100020,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,US1L009318,2017-02-20,ISIN,ANSHUL000005,N-61,2017-02-20,100001,USD,100001,100001,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,ZW9Z999994,2017-02-20,ISIN,ANSHUL000005,N-62,2017-02-20,100002,USD,100002,100002,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,ZW9X999996,2017-02-20,ISIN,ANSHUL000005,N-63,2017-02-20,100003,USD,100003,100003,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,ZW9W999997,2017-02-20,ISIN,ANSHUL000005,N-64,2017-02-20,100004,USD,100004,100004,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CH1L122575,2017-02-20,ISIN,ANSHUL000005,N-65,2017-02-20,100005,USD,100005,100005,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CH1L206998,2017-02-20,ISIN,ANSHUL000005,N-66,2017-02-20,100006,USD,100006,100006,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CH1L156797,2017-02-20,ISIN,ANSHUL000005,N-67,2017-02-20,100007,USD,100007,100007,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS11111111,2017-02-20,ISIN,ANSHUL000005,N-68,2017-02-20,100008,USD,100008,100008,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234567,2017-02-20,ISIN,ANSHUL000005,N-69,2017-02-20,100009,USD,100009,100009,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234568,2017-02-20,ISIN,ANSHUL000005,N-70,2017-02-20,100010,USD,100010,100010,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS2222222,2017-02-20,ISIN,ANSHUL000005,N-71,2017-02-20,100011,USD,100011,100011,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234569,2017-02-20,ISIN,ANSHUL000005,N-72,2017-02-20,100012,USD,100012,100012,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS2222223,2017-02-20,ISIN,ANSHUL000005,N-73,2017-02-20,100013,USD,100013,100013,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234561,2017-02-20,ISIN,ANSHUL000005,N-74,2017-02-20,100014,USD,100014,100014,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS2222224,2017-02-20,ISIN,ANSHUL000005,N-75,2017-02-20,100015,USD,100015,100015,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS2222225,2017-02-20,ISIN,ANSHUL000005,N-76,2017-02-20,100016,USD,100016,100016,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234565,2017-02-20,ISIN,ANSHUL000005,N-77,2017-02-20,100017,USD,100017,100017,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234566,2017-02-20,ISIN,ANSHUL000005,N-78,2017-02-20,100018,USD,100018,100018,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234563,2017-02-20,ISIN,ANSHUL000005,N-79,2017-02-20,100019,USD,100019,100019,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234564,2017-02-20,ISIN,ANSHUL000005,N-80,2017-02-20,100020,USD,100020,100020,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,US1L009318,2017-02-20,ISIN,ANSHUL000006,N-81,2017-02-20,100001,USD,100001,100001,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,ZW9Z999994,2017-02-20,ISIN,ANSHUL000006,N-82,2017-02-20,100002,USD,100002,100002,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,ZW9X999996,2017-02-20,ISIN,ANSHUL000006,N-83,2017-02-20,100003,USD,100003,100003,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,ZW9W999997,2017-02-20,ISIN,ANSHUL000006,N-84,2017-02-20,100004,USD,100004,100004,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CH1L122575,2017-02-20,ISIN,ANSHUL000006,N-85,2017-02-20,100005,USD,100005,100005,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CH1L206998,2017-02-20,ISIN,ANSHUL000006,N-86,2017-02-20,100006,USD,100006,100006,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CH1L156797,2017-02-20,ISIN,ANSHUL000006,N-87,2017-02-20,100007,USD,100007,100007,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS11111111,2017-02-20,ISIN,ANSHUL000006,N-88,2017-02-20,100008,USD,100008,100008,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234567,2017-02-20,ISIN,ANSHUL000006,N-89,2017-02-20,100009,USD,100009,100009,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234568,2017-02-20,ISIN,ANSHUL000006,N-90,2017-02-20,100010,USD,100010,100010,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS2222222,2017-02-20,ISIN,ANSHUL000006,N-91,2017-02-20,100011,USD,100011,100011,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234569,2017-02-20,ISIN,ANSHUL000006,N-92,2017-02-20,100012,USD,100012,100012,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS2222223,2017-02-20,ISIN,ANSHUL000006,N-93,2017-02-20,100013,USD,100013,100013,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234561,2017-02-20,ISIN,ANSHUL000006,N-94,2017-02-20,100014,USD,100014,100014,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS2222224,2017-02-20,ISIN,ANSHUL000006,N-95,2017-02-20,100015,USD,100015,100015,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS2222225,2017-02-20,ISIN,ANSHUL000006,N-96,2017-02-20,100016,USD,100016,100016,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234565,2017-02-20,ISIN,ANSHUL000006,N-97,2017-02-20,100017,USD,100017,100017,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234566,2017-02-20,ISIN,ANSHUL000006,N-98,2017-02-20,100018,USD,100018,100018,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234563,2017-02-20,ISIN,ANSHUL000006,N-99,2017-02-20,100019,USD,100019,100019,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234564,2017-02-20,ISIN,ANSHUL000006,N-100,2017-02-20,100020,USD,100020,100020,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,US1L009318,2017-02-20,ISIN,ANSHUL000007,N-101,2017-02-20,100001,USD,100001,100001,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,ZW9Z999994,2017-02-20,ISIN,ANSHUL000007,N-102,2017-02-20,100002,USD,100002,100002,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,ZW9X999996,2017-02-20,ISIN,ANSHUL000007,N-103,2017-02-20,100003,USD,100003,100003,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,ZW9W999997,2017-02-20,ISIN,ANSHUL000007,N-104,2017-02-20,100004,USD,100004,100004,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CH1L122575,2017-02-20,ISIN,ANSHUL000007,N-105,2017-02-20,100005,USD,100005,100005,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CH1L206998,2017-02-20,ISIN,ANSHUL000007,N-106,2017-02-20,100006,USD,100006,100006,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CH1L156797,2017-02-20,ISIN,ANSHUL000007,N-107,2017-02-20,100007,USD,100007,100007,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS11111111,2017-02-20,ISIN,ANSHUL000007,N-108,2017-02-20,100008,USD,100008,100008,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234567,2017-02-20,ISIN,ANSHUL000007,N-109,2017-02-20,100009,USD,100009,100009,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234568,2017-02-20,ISIN,ANSHUL000007,N-110,2017-02-20,100010,USD,100010,100010,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS2222222,2017-02-20,ISIN,ANSHUL000007,N-111,2017-02-20,100011,USD,100011,100011,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234569,2017-02-20,ISIN,ANSHUL000007,N-112,2017-02-20,100012,USD,100012,100012,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS2222223,2017-02-20,ISIN,ANSHUL000007,N-113,2017-02-20,100013,USD,100013,100013,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234561,2017-02-20,ISIN,ANSHUL000007,N-114,2017-02-20,100014,USD,100014,100014,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS2222224,2017-02-20,ISIN,ANSHUL000007,N-115,2017-02-20,100015,USD,100015,100015,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS2222225,2017-02-20,ISIN,ANSHUL000007,N-116,2017-02-20,100016,USD,100016,100016,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234565,2017-02-20,ISIN,ANSHUL000007,N-117,2017-02-20,100017,USD,100017,100017,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234566,2017-02-20,ISIN,ANSHUL000007,N-118,2017-02-20,100018,USD,100018,100018,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234563,2017-02-20,ISIN,ANSHUL000007,N-119,2017-02-20,100019,USD,100019,100019,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234564,2017-02-20,ISIN,ANSHUL000007,N-120,2017-02-20,100020,USD,100020,100020,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,US1L009318,2017-02-20,ISIN,ANSHUL000008,N-121,2017-02-20,100001,USD,100001,100001,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,ZW9Z999994,2017-02-20,ISIN,ANSHUL000008,N-122,2017-02-20,100002,USD,100002,100002,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,ZW9X999996,2017-02-20,ISIN,ANSHUL000008,N-123,2017-02-20,100003,USD,100003,100003,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,ZW9W999997,2017-02-20,ISIN,ANSHUL000008,N-124,2017-02-20,100004,USD,100004,100004,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CH1L122575,2017-02-20,ISIN,ANSHUL000008,N-125,2017-02-20,100005,USD,100005,100005,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CH1L206998,2017-02-20,ISIN,ANSHUL000008,N-126,2017-02-20,100006,USD,100006,100006,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CH1L156797,2017-02-20,ISIN,ANSHUL000008,N-127,2017-02-20,100007,USD,100007,100007,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS11111111,2017-02-20,ISIN,ANSHUL000008,N-128,2017-02-20,100008,USD,100008,100008,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234567,2017-02-20,ISIN,ANSHUL000008,N-129,2017-02-20,100009,USD,100009,100009,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234568,2017-02-20,ISIN,ANSHUL000008,N-130,2017-02-20,100010,USD,100010,100010,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS2222222,2017-02-20,ISIN,ANSHUL000008,N-131,2017-02-20,100011,USD,100011,100011,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234569,2017-02-20,ISIN,ANSHUL000008,N-132,2017-02-20,100012,USD,100012,100012,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS2222223,2017-02-20,ISIN,ANSHUL000008,N-133,2017-02-20,100013,USD,100013,100013,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234561,2017-02-20,ISIN,ANSHUL000008,N-134,2017-02-20,100014,USD,100014,100014,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS2222224,2017-02-20,ISIN,ANSHUL000008,N-135,2017-02-20,100015,USD,100015,100015,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS2222225,2017-02-20,ISIN,ANSHUL000008,N-136,2017-02-20,100016,USD,100016,100016,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234565,2017-02-20,ISIN,ANSHUL000008,N-137,2017-02-20,100017,USD,100017,100017,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234566,2017-02-20,ISIN,ANSHUL000008,N-138,2017-02-20,100018,USD,100018,100018,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234563,2017-02-20,ISIN,ANSHUL000008,N-139,2017-02-20,100019,USD,100019,100019,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234564,2017-02-20,ISIN,ANSHUL000008,N-140,2017-02-20,100020,USD,100020,100020,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,US1L009318,2017-02-20,ISIN,ANSHUL000009,N-141,2017-02-20,100001,USD,100001,100001,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,ZW9Z999994,2017-02-20,ISIN,ANSHUL000009,N-142,2017-02-20,100002,USD,100002,100002,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,ZW9X999996,2017-02-20,ISIN,ANSHUL000009,N-143,2017-02-20,100003,USD,100003,100003,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,ZW9W999997,2017-02-20,ISIN,ANSHUL000009,N-144,2017-02-20,100004,USD,100004,100004,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CH1L122575,2017-02-20,ISIN,ANSHUL000009,N-145,2017-02-20,100005,USD,100005,100005,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CH1L206998,2017-02-20,ISIN,ANSHUL000009,N-146,2017-02-20,100006,USD,100006,100006,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CH1L156797,2017-02-20,ISIN,ANSHUL000009,N-147,2017-02-20,100007,USD,100007,100007,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS11111111,2017-02-20,ISIN,ANSHUL000009,N-148,2017-02-20,100008,USD,100008,100008,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234567,2017-02-20,ISIN,ANSHUL000009,N-149,2017-02-20,100009,USD,100009,100009,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234568,2017-02-20,ISIN,ANSHUL000009,N-150,2017-02-20,100010,USD,100010,100010,0
